,index,ID,inchikey,sdftitle,order,set,CVfold,NR.AhR,NR.AR,NR.AR.LBD,NR.Aromatase,NR.ER,NR.ER.LBD,NR.PPAR.gamma,SR.ARE,SR.ATAD5,SR.HSE,SR.MMP,SR.p53,smiles
12,12,NCGC00095016-05,HQVZOORKDNCGCK-UHFFFAOYSA-N,NCGC00095016-05,12,training,,,,,,,,,0.0,,,,,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
13,13,NCGC00095192-05,IKBKZGMPCYNSLU-RGVLZGJSSA-N,NCGC00095192-05,13,training,,,,,,,,,0.0,,,,,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12
14,14,NCGC00091258-05,VYWPPRLJNVHPEU-UHFFFAOYSA-N,NCGC00091258-05,14,training,,,,,,,,,1.0,,,,,O=C(CCl)c1ccc(Cl)cc1Cl
15,15,NCGC00263656-01,LPMXVESGRSUGHW-HBYQJFLCSA-N,NCGC00263656-01,15,training,,,,,,,,,,,0.0,,,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
16,16,NCGC00166121-03,CXRFDZFCGOPDTD-UHFFFAOYSA-M,NCGC00166121-03,16,training,,,,,,,,,1.0,,,,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
17,17,NCGC00257773-01,OJIYIVCMRYCWSE-UHFFFAOYSA-M,NCGC00257773-01,17,training,,,0.0,,,,,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-]
18,18,NCGC00091023-06,DVBJBNKEBPCGSY-UHFFFAOYSA-M,NCGC00091023-06,18,training,,,,,,,,,1.0,,,,,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
19,19,NCGC00091112-09,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,NCGC00091112-09,19,training,,,,,,,,,,,1.0,,,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-]
20,20,NCGC00167436-02,ZKFQEACEUNWPMT-UHFFFAOYSA-N,NCGC00167436-02,20,training,,,,,,,,,1.0,,,,,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1
21,21,NCGC00177980-03,WVNOAGNOIPTWPT-NDUABGMUSA-N,NCGC00177980-03,21,training,0.0,,,,,,,,,,1.0,,,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O
22,22,NCGC00179665-04,POZRVZJJTULAOH-LHZXLZLDSA-N,NCGC00179665-04,22,training,,,,,,,,,,,0.0,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
23,23,NCGC00344566-01,RRFQFDMDZFLXRY-GTQYJQEFSA-N,NCGC00344566-01,23,training,,,,,,,,,0.0,,,,,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
24,24,NCGC00015959-09,INVGWHRKADIJHF-UHFFFAOYSA-N,NCGC00015959-09,24,training,,,,,,,,,,,1.0,,,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3
25,25,NCGC00017112-10,MBRHNTMUYWQHMR-UHFFFAOYSA-N,NCGC00017112-10,25,training,3.0,,,,,,,,,,1.0,,,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO
26,26,NCGC00015747-09,ZBBHBTPTTSWHBA-UHFFFAOYSA-N,NCGC00015747-09,26,training,,,,,,,,,,,1.0,,,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
27,27,NCGC00167493-04,JINNGBXKBDUGQT-UHFFFAOYSA-N,NCGC00167493-04,27,training,,,,,,,,,,,0.0,,,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1.Cl.Cl
28,28,NCGC00273481-01,RSXZRFHNNTTWCB-UHFFFAOYSA-N,NCGC00273481-01,28,training,,,,,,,,,,,0.0,,,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1.Cl
29,29,NCGC00161831-04,WESWYMRNZNDGBX-YLCXCWDSSA-N,NCGC00161831-04,29,training,,,,,,,,,,,0.0,,,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1
30,30,NCGC00015889-11,BKXVVCILCIUCLG-UHFFFAOYSA-N,NCGC00015889-11,30,training,,,,,,,,,,,0.0,,,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
31,31,NCGC00159424-04,REQPQFUJGGOFQL-UHFFFAOYSA-N,NCGC00159424-04,31,training,,,,,,,,,,,1.0,,,CN(C)C(=S)SC(=S)N(C)C
32,32,NCGC00091563-12,KUAZQDVKQLNFPE-UHFFFAOYSA-N,NCGC00091563-12,32,training,,,,,,,,,,,1.0,,,CN(C)C(=S)SSC(=S)N(C)C
33,33,NCGC00015273-19,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,NCGC00015273-19,33,training,,,,,,,,,,,0.0,,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
34,34,NCGC00257649-01,GXDALQBWZGODGZ-UHFFFAOYSA-N,NCGC00257649-01,34,training,,,0.0,,,,,,,,,,,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
35,35,NCGC00262909-01,XDVCLKFLRAWGIT-ADOAZJKMSA-N,NCGC00262909-01,35,training,,,,,,,,,,,0.0,,,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C[C@H]3C[C@@H]12
36,36,NCGC00096056-02,NYEPHMYJRNWPLA-UHFFFAOYSA-N,NCGC00096056-02,36,training,1.0,,,,,,,,,,1.0,,,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1.O
37,37,NCGC00262929-01,KSGXQBZTULBEEQ-UHFFFAOYSA-N,NCGC00262929-01,37,training,,,,,,,,,,,0.0,,,CCCCCCOC(=O)/N=C(/N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1
38,38,NCGC00159441-03,OBATZBGFDSVCJD-LALPQLPRSA-N,NCGC00159441-03,38,training,,,,,,,,,,,0.0,,,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1
39,39,NCGC00142623-04,WDJUZGPOPHTGOT-XUDUSOBPSA-N,NCGC00142623-04,39,training,,,,,,,,,,,0.0,,,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
40,40,NCGC00344555-01,MYEJFUXQJGHEQK-ALRJYLEOSA-N,NCGC00344555-01,40,training,,,,,,,,,,,0.0,,,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O
41,41,NCGC00016258-06,MJVAVZPDRWSRRC-UHFFFAOYSA-N,NCGC00016258-06,41,training,,,,,,,,,1.0,,,,,CC1=CC(=O)c2ccccc2C1=O
42,42,NCGC00159476-09,KVSKGMLNBAPGKH-UHFFFAOYSA-N,NCGC00159476-09,42,training,,,,,,,,,,,1.0,,,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O
43,43,NCGC00160275-03,ABLACSIRCKEUOB-UHFFFAOYSA-N,NCGC00160275-03,43,training,,,,,,,,,,,0.0,,,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O
44,44,NCGC00166120-02,VUFOSBDICLTFMS-UHFFFAOYSA-M,NCGC00166120-02,44,training,,,,,,,,,1.0,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-]
45,45,NCGC00016373-08,UREZNYTWGJKWBI-UHFFFAOYSA-M,NCGC00016373-08,45,training,,,,,,,,,1.0,,,,,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
46,46,NCGC00016789-06,WYWSKWZUWZLELX-UHFFFAOYSA-M,NCGC00016789-06,46,training,,,,,,,,,1.0,,,,,Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C.[Cl-]
47,47,NCGC00018250-06,CRKGMGQUHDNAPB-UHFFFAOYSA-N,NCGC00018250-06,47,training,0.0,,,,,,,,,,1.0,,,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
48,48,NCGC00253588-01,UIVFUQKYVFCEKJ-OPTOVBNMSA-N,NCGC00253588-01,48,training,,,,,,,,,,,1.0,,,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C
49,49,NCGC00015096-17,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,NCGC00015096-17,49,training,,,,,,,,,0.0,,,,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
50,50,NCGC00161420-06,MTJLQTFHJIHXIX-GDUXWEAWSA-N,NCGC00161420-06,50,training,,,,,,,,,,,0.0,,,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl
51,51,NCGC00260347-01,NZFNXWQNBYZDAQ-UHFFFAOYSA-N,NCGC00260347-01,51,training,,,0.0,,,,,,,,,,,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl
52,52,NCGC00166070-02,JZGHZXCZUAJOSA-UHFFFAOYSA-N,NCGC00166070-02,52,training,,,,,,,,,,,0.0,,,CCCCCCCCCCOCC(O)CN.Cl
53,53,NCGC00167430-04,QXHHHPZILQDDPS-UHFFFAOYSA-N,NCGC00167430-04,53,training,,,,,,,,,,,1.0,,,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
54,54,NCGC00016710-05,PMGQWSIVQFOFOQ-YKVZVUFRSA-N,NCGC00016710-05,54,training,,,,,,,,,,,0.0,,,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O
55,55,NCGC00016059-13,KLBQZWRITKRQQV-UHFFFAOYSA-N,NCGC00016059-13,55,training,,,,,,,,,,,0.0,,,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
56,56,NCGC00161621-03,YVPXVXANRNDGTA-WDYNHAJCSA-N,NCGC00161621-03,56,training,,,,,,,,,,,0.0,,,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C
57,57,NCGC00162179-08,NJMYODHXAKYRHW-DVZOWYKESA-N,NCGC00162179-08,57,training,,,,,,,,,,,0.0,,,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
58,58,NCGC00181782-03,GZKLJWGUPQBVJQ-UHFFFAOYSA-N,NCGC00181782-03,58,training,,,,,,,,,,,0.0,,,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
59,59,NCGC00263542-01,IZSFDUMVCVVWKW-UHFFFAOYSA-N,NCGC00263542-01,59,training,,,,,,,,,,,0.0,,,NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21
60,60,NCGC00167547-02,HZLCGUXUOFWCCN-UHFFFAOYSA-N,NCGC00167547-02,60,training,,,,,,,,,0.0,,,,,CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O
61,61,NCGC00164631-05,GFZBJFWXHCSNPX-HBPAQXCTSA-N,NCGC00164631-05,61,training,3.0,,,,,,,,,,0.0,,,CCN(CC)CCNC(=O)C1C(C)=NC(/C=C2\C(=O)Nc3ccc(F)cc32)=C1C.O=C(O)CC(O)C(=O)O
62,62,NCGC00166245-04,YADYXCVYLIKQJX-UHFFFAOYSA-N,NCGC00166245-04,62,training,4.0,,,,,,,,,,0.0,,,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O
63,63,NCGC00253592-01,ZJTLZYDQJHKRMQ-UHFFFAOYSA-N,NCGC00253592-01,63,training,,,,,,,,,,,1.0,,,Cc1cc(O)c2ccccc2c1O
64,64,NCGC00181767-03,MIQPIUSUKVNLNT-UHFFFAOYSA-N,NCGC00181767-03,64,training,,,,,,,,,,,0.0,,,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
65,65,NCGC00016345-08,HSHNITRMYYLLCV-UHFFFAOYSA-N,NCGC00016345-08,65,training,,,,,,,,,0.0,,,,,Cc1cc(=O)oc2cc(O)ccc12
66,66,NCGC00164283-07,LZZYPRNAOMGNLH-UHFFFAOYSA-M,NCGC00164283-07,66,training,,,,,,,,,,,0.0,,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
67,67,NCGC00187943-02,YLPZVNXGKBIJBW-UHFFFAOYSA-M,NCGC00187943-02,67,training,0.0,,,,,,,,,,0.0,,,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O.[Cl-]
68,68,NCGC00166247-02,QWYZFXLSWMXLDM-UHFFFAOYSA-M,NCGC00166247-02,68,training,,,,,,,,,1.0,,,,,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[I-]
69,69,NCGC00179596-03,ZHPWRQIPPNZNML-UHFFFAOYSA-N,NCGC00179596-03,69,training,0.0,,,,,,,,,,1.0,,,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O
70,70,NCGC00166146-02,PWZUUYSISTUNDW-VAFBSOEGSA-N,NCGC00166146-02,70,training,,,,,,,,,,,0.0,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C
71,71,NCGC00261967-01,SBQAKZYUNWNIRL-WIPKXTQKSA-N,NCGC00261967-01,71,training,,,,,,,,,,,0.0,,,CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
72,72,NCGC00018254-08,OCAPBUJLXMYKEJ-UHFFFAOYSA-N,NCGC00018254-08,72,training,,,,,,,,,,,1.0,,,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
73,73,NCGC00182055-03,OMZAMQFQZMUNTP-UHFFFAOYSA-N,NCGC00182055-03,73,training,,,,,,,,,0.0,,,,,CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12
74,74,NCGC00166290-03,ONJQDTZCDSESIW-UHFFFAOYSA-N,NCGC00166290-03,74,training,,,,,,,,,1.0,,,,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
75,75,NCGC00167490-03,DYLGFOYVTXJFJP-MYYYXRDXSA-N,NCGC00167490-03,75,training,,,,,,,,,,,0.0,,,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1
76,76,NCGC00016622-08,MFZWMTSUNYWVBU-UHFFFAOYSA-N,NCGC00016622-08,76,training,,,,,,,,,,,0.0,,,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12
77,77,NCGC00015838-06,ZFWVWZODBGTOIL-UHFFFAOYSA-N,NCGC00015838-06,77,training,,,,,,,,,,,0.0,,,CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.Cl
78,78,NCGC00025187-02,ZWHRZGHGYMUSRM-VWDRLOGHSA-N,NCGC00025187-02,78,training,,,,,,,,,,,0.0,,,C[C@@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@H](C)N1.Cl.Cl
79,79,NCGC00186653-01,BXDAOUXDMHXPDI-UHFFFAOYSA-N,NCGC00186653-01,79,training,,,,,,,,,,,0.0,,,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl
80,80,NCGC00025302-02,JFPPLMAMMZZOEA-UHFFFAOYSA-N,NCGC00025302-02,80,training,,,,,,,,,,,1.0,,,Cl.O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1
81,81,NCGC00262908-01,POPOYOKQQAEISW-UHFFFAOYSA-N,NCGC00262908-01,81,training,,,,,,,,,,,1.0,,,O=c1[nH]sc2cc(Cl)ccc12
82,82,NCGC00015619-13,JCCNYMKQOSZNPW-UHFFFAOYSA-N,NCGC00015619-13,82,training,,,,,,,,,1.0,,,,,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
83,83,NCGC00179642-03,MPIPASJGOJYODL-UHFFFAOYSA-N,NCGC00179642-03,83,training,,,,,,,,,,,1.0,,,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1
84,84,NCGC00013683-06,WSPOMRSOLSGNFJ-VGOFMYFVSA-N,NCGC00013683-06,84,training,,,,,,,,,,,0.0,,,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21
85,85,NCGC00015563-13,BCGWQEUPMDMJNV-UHFFFAOYSA-N,NCGC00015563-13,85,training,,,,,,,,,,,0.0,,,CN(C)CCCN1c2ccccc2CCc2ccccc21
86,86,NCGC00179536-02,JQXXHWHPUNPDRT-WLSIYKJHSA-N,NCGC00179536-02,86,training,2.0,,,,,,,,,,0.0,,,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
87,87,NCGC00160483-02,DOUQJBPSTIKRPH-UHFFFAOYSA-N,NCGC00160483-02,87,training,,,,,,,,,,,0.0,,,CN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
88,88,NCGC00016913-14,GXDALQBWZGODGZ-UHFFFAOYSA-N,NCGC00016913-14,88,training,,,,,,,,,,,0.0,,,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
89,89,NCGC00167729-03,ILNRQFBVVQUOLP-UHFFFAOYSA-N,NCGC00167729-03,89,training,,,,,,,,,1.0,,,,,O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21
90,90,NCGC00015856-10,DSKIOWHQLUWFLG-SPIKMXEPSA-N,NCGC00015856-10,90,training,,,,,,,,,,,0.0,,,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
91,91,NCGC00181016-04,NAVMQTYZDKMPEU-UHFFFAOYSA-N,NCGC00181016-04,91,training,,,,,,,,,,,1.0,,,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
92,92,NCGC00274067-01,XDXWLKQMMKQXPV-HPNDGRJYSA-N,NCGC00274067-01,92,training,,,,,,,,,,,1.0,,,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N/Nc1cccc(-c2cccc(C(=O)O)c2)c1O
93,93,NCGC00263543-01,OGWKCGZFUXNPDA-XQKSVPLYSA-N,NCGC00263543-01,93,training,,,,,,,,,,,0.0,,,CC[C@]1(O)C[C@H]2C[N@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
94,94,NCGC00263581-01,ICMWWNHDUZJFDW-DHODBPELSA-N,NCGC00263581-01,94,training,,,,,,,,,1.0,,,,,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
95,95,NCGC00095264-04,WDFKMLRRRCGAKS-UHFFFAOYSA-N,NCGC00095264-04,95,training,,,,,,,,,,,1.0,,,Oc1c(Cl)cc(Cl)c2cccnc12
96,96,NCGC00253604-01,MMUMZMIKZXSFSD-ADSVITMPSA-N,NCGC00253604-01,96,training,,,,,,,,,,,0.0,,,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2ccc(O)c(OC)c2)[C@@H]1OC
97,97,NCGC00025349-05,VMWNQDUVQKEIOC-CYBMUJFWSA-N,NCGC00025349-05,97,training,,,,,,,,,1.0,,,,,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
98,98,NCGC00344543-01,KMSKQZKKOZQFFG-YXRRJAAWSA-N,NCGC00344543-01,98,training,,,,,,,,,,,0.0,,,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1
99,99,NCGC00015826-13,RGCVKNLCSQQDEP-UHFFFAOYSA-N,NCGC00015826-13,99,training,,,,,,,,,,,0.0,,,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
100,100,NCGC00160664-03,RJIWZDNTCBHXAL-UHFFFAOYSA-N,NCGC00160664-03,100,training,,,,,,,,,,,1.0,,,O=[N+]([O-])c1ccc(O)c2ncccc12
101,101,NCGC00018258-10,DDXORDQKGIZAME-UHFFFAOYSA-N,NCGC00018258-10,101,training,0.0,,,,,,,,,,1.0,,,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
102,102,NCGC00179676-03,YNVGQYHLRCDXFQ-JBKQDOAHSA-N,NCGC00179676-03,102,training,1.0,,,,,,,,1.0,,,,,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
